,Team_03,Team_05,Team_06,Team_10,Team_13,Team_14,Team_16,Team_20,Team_21,Team_22,Team_25,Team_26,Team_27,Team_28,Team_29,Team_31,Team_32,Team_33
Team_03,1.0000000000000036,0.9208135246041098,0.9020141565254544,0.7045665368177312,0.8827243413138519,0.9247609358001126,0.6575918883768985,0.9246774925306882,0.8873109506906982,0.8812618835961641,0.9116999566808123,0.8994875923190935,0.5246695170488531,0.8935854528372011,0.8868516361107711,0.14634860826200674,0.8922809362312413,0.17305784736655294
Team_05,0.9208135246041098,0.9999999999999987,0.8484865434876814,0.7121771540904586,0.8856675499580526,0.9274065707182045,0.6403656757069306,0.9237155665130208,0.8815323702141262,0.9006735897373919,0.9435812167160588,0.8742498673487961,0.5163145124078466,0.8888429937325096,0.8809896606547518,0.1517728156737965,0.8876149479181594,0.19507532129582333
Team_06,0.9020141565254544,0.8484865434876814,0.9999999999999988,0.7061638603235585,0.73188410095001,0.8424481934408756,0.6787194228799918,0.8129438758199097,0.7399631958989612,0.7431267527965355,0.8223324616713819,0.8325491195179572,0.5339453791379667,0.7399493387806994,0.7307530982832967,0.24165455533424765,0.7378645788931945,0.30397701571421726
Team_10,0.7045665368177312,0.7121771540904586,0.7061638603235585,1.0000000000000007,0.6601501613480377,0.7421682933870174,0.6070241394527874,0.6763161243105775,0.6685565988476836,0.6705328632170822,0.7908026482905129,0.681813855907339,0.493213830698795,0.6720965592935247,0.6644985662727084,0.19263171284712485,0.6685453909605529,0.23796679472799423
Team_13,0.8827243413138519,0.8856675499580526,0.73188410095001,0.6601501613480377,0.9999999999999999,0.9078501750553994,0.5769433977551929,0.8913917984882225,0.9887058884761315,0.9681737425690256,0.8939955082244316,0.8116946291850512,0.4329816286797723,0.9897166265326676,0.9907308689662525,0.06361711798871464,0.9892203443768177,0.07135206412239044
Team_14,0.9247609358001126,0.9274065707182045,0.8424481934408756,0.7421682933870174,0.9078501750553994,1.0,0.6171018420268866,0.9086385113889817,0.9181794920586008,0.9154497509993349,0.9119495262379371,0.8790029320514743,0.5205946608140827,0.9215227906749149,0.9156262245697834,0.1479838090023233,0.9209899739811533,0.1774741833544571
Team_16,0.6575918883768985,0.6403656757069306,0.6787194228799918,0.6070241394527874,0.5769433977551929,0.6171018420268866,0.9999999999999994,0.6422823445121182,0.5778860712498011,0.5894642055885304,0.6760302760913011,0.641839680935287,0.44476440166086967,0.583279648640999,0.5708928307097,0.3377497550129311,0.5826934660307574,0.39038838153337624
Team_20,0.9246774925306882,0.9237155665130208,0.8129438758199097,0.6763161243105775,0.8913917984882225,0.9086385113889817,0.6422823445121182,1.0,0.8875840451380924,0.894644879646029,0.9316153644844497,0.8991021029760341,0.5281377207661013,0.8997351478162795,0.892518588030284,0.15930357441356316,0.8986899351846059,0.1816431935761753
Team_21,0.8873109506906982,0.8815323702141262,0.7399631958989612,0.6685565988476836,0.9887058884761315,0.9181794920586008,0.5778860712498011,0.8875840451380924,1.0000000000000004,0.9707952346689854,0.8911408063091422,0.8109339853119968,0.4280811454791077,0.9968260421285687,0.9971067574865503,0.055810812226950265,0.9964990989248554,0.053064048368631156
Team_22,0.8812618835961641,0.9006735897373919,0.7431267527965355,0.6705328632170822,0.9681737425690256,0.9154497509993349,0.5894642055885304,0.894644879646029,0.9707952346689854,1.000000000000001,0.9074265094827468,0.817444831126263,0.45802911484541114,0.9738869223036833,0.9723129250048568,0.09283414239046377,0.9730493711413286,0.10064601252544891
Team_25,0.9116999566808123,0.9435812167160588,0.8223324616713819,0.7908026482905129,0.8939955082244316,0.9119495262379371,0.6760302760913011,0.9316153644844497,0.8911408063091422,0.9074265094827468,0.9999999999999997,0.8650337183704406,0.5304227530143385,0.897731284998308,0.8923692609191541,0.1495464467315105,0.8960857189632456,0.15804722929988063
Team_26,0.8994875923190935,0.8742498673487961,0.8325491195179572,0.681813855907339,0.8116946291850512,0.8790029320514743,0.641839680935287,0.8991021029760341,0.8109339853119968,0.817444831126263,0.8650337183704406,0.999999999999999,0.5942600680595151,0.8217189941870247,0.8111664641772857,0.2156123420094808,0.8228258871416074,0.2736492550878205
Team_27,0.5246695170488531,0.5163145124078466,0.5339453791379667,0.493213830698795,0.4329816286797723,0.5205946608140827,0.44476440166086967,0.5281377207661013,0.4280811454791077,0.45802911484541114,0.5304227530143385,0.5942600680595151,1.0000000000000002,0.44168810298780714,0.4266927776808527,0.2821433745409695,0.43428095014648854,0.3241339948805774
Team_28,0.8935854528372011,0.8888429937325096,0.7399493387806994,0.6720965592935247,0.9897166265326676,0.9215227906749149,0.583279648640999,0.8997351478162795,0.9968260421285687,0.9738869223036833,0.897731284998308,0.8217189941870247,0.44168810298780714,0.9999999999999997,0.9981757647161313,0.06523905251422309,0.9981128533234295,0.07526037162641844
Team_29,0.8868516361107711,0.8809896606547518,0.7307530982832967,0.6644985662727084,0.9907308689662525,0.9156262245697834,0.5708928307097,0.892518588030284,0.9971067574865503,0.9723129250048568,0.8923692609191541,0.8111664641772857,0.4266927776808527,0.9981757647161313,1.0000000000000004,0.04718349535052724,0.9977032938554566,0.05104151468312495
Team_31,0.14634860826200674,0.1517728156737965,0.24165455533424765,0.19263171284712485,0.06361711798871464,0.1479838090023233,0.3377497550129311,0.15930357441356316,0.055810812226950265,0.09283414239046377,0.1495464467315105,0.2156123420094808,0.2821433745409695,0.06523905251422309,0.04718349535052724,1.0000000000000002,0.06829072999747711,0.5901414935226998
Team_32,0.8922809362312413,0.8876149479181594,0.7378645788931945,0.6685453909605529,0.9892203443768177,0.9209899739811533,0.5826934660307574,0.8986899351846059,0.9964990989248554,0.9730493711413286,0.8960857189632456,0.8228258871416074,0.43428095014648854,0.9981128533234295,0.9977032938554566,0.06829072999747711,1.0000000000000002,0.07815652311945057
Team_33,0.17305784736655294,0.19507532129582333,0.30397701571421726,0.23796679472799423,0.07135206412239044,0.1774741833544571,0.39038838153337624,0.1816431935761753,0.053064048368631156,0.10064601252544891,0.15804722929988063,0.2736492550878205,0.3241339948805774,0.07526037162641844,0.05104151468312495,0.5901414935226998,0.07815652311945057,1.0000000000000004
